,,,,,,Type,,Date,,Num,,Name,,Memo,,Class,,Clr,,Split,,Amount,,Balance
,Other Current Asset,,,,,,,,,,,,,,,,,,,,,,,0.00
,,Assets Cost and Est. Earnings,,,,,,,,,,,,,,,,,,,,,,0.00
,,,,,,Bill,,04/13/2025,,MAR/14 - APR/13/2024,,Home Depot Credit Services,, INV# 5524184 Cost of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,119.18,,"208,530.98"
,,,,,,Bill,,04/13/2025,,MAR/14 - APR/13/2024,,Home Depot Credit Services,,INV# 4535965 Cost of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,15.41,,"208,546.39"
,,,,,,Bill,,04/13/2025,,MAR/14 - APR/13/2024,,Home Depot Credit Services,,INV# 4535979 Cost of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,25.31,,"208,571.70"
,,,,,,Bill,,04/13/2025,,MAR/14 - APR/13/2024,,Home Depot Credit Services,,INV# 4535983 Cost of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,10.23,,"208,581.93"
,,,,,,Bill,,04/13/2025,,MAR/14 - APR/13/2024,,Home Depot Credit Services,,INV# 4550659 Cost of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,13.54,,"208,595.47"
,,,,,,Bill,,04/13/2025,,MAR/14 - APR/13/2024,,Home Depot Credit Services,,INV# 3112693 Cost of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,397.65,,"208,993.12"
,,,,,,Bill,,04/13/2025,,MAR/14 - APR/13/2024,,Home Depot Credit Services,,INV# 1025298 Cost of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,109.59,,"209,102.71"
,,,,,,Bill,,04/14/2025,,INV# 1005 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1005 PO# 1380  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"17,457.12",,"226,559.83"
,,,,,,Bill,,04/15/2025,,HHA-Vivian Villas,,"Home Depot USA, Inc.",,HHA-Vivian Villas  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,41.02,,"226,600.85"
,,,,,,Bill,,04/15/2025,,refund expenses,,Fabio Vargas,,Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,60.00,,"226,660.85"
,,,,,,Bill,,04/21/2025,,INV# 1006 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1006 PO# 1380  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"17,457.12",,"244,117.97"
,,,,,,Bill,,04/22/2025,,refund expenses,,Erwin Davila.,,refund expenses HHA-Vivian Villas Cost of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,714.21,,"244,832.18"
,,,,,,Bill,,04/28/2025,,INV# 1007 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1006 PO# 1380  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"17,457.12",,"262,289.30"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,80.00,,"262,369.30"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,apple.com,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,2.99,,"262,372.29"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,50.00,,"262,422.29"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,22.00,,"262,444.29"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,11.00,,"262,455.29"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,16.00,,"262,471.29"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,2.00,,"262,473.29"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,14.00,,"262,487.29"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,7.45,,"262,494.74"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,55.00,,"262,549.74"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,11.77,,"262,561.51"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,18.00,,"262,579.51"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,carwash,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,32.41,,"262,611.92"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,carwash,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,5.03,,"262,616.95"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,38.14,,"262,655.09"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,43.37,,"262,698.46"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,17.94,,"262,716.40"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,63.60,,"262,780.00"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,Uber,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,5.45,,"262,785.45"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,Uber,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,2.82,,"262,788.27"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,Uber,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,47.13,,"262,835.40"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,Fedex,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,187.68,,"263,023.08"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,65.01,,"263,088.09"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,12.24,,"263,100.33"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,21.03,,"263,121.36"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,7.70,,"263,129.06"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,17.00,,"263,146.06"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,90.00,,"263,236.06"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,44.36,,"263,280.42"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,15.19,,"263,295.61"
,,,,,,Bill,,04/30/2025,,April/30/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,51.90,,"263,347.51"
