,,,,,,Type,,Date,,Num,,Name,,Memo,,Class,,Clr,,Split,,Amount,,Balance
,Other Current Asset,,,,,,,,,,,,,,,,,,,,,,,0.00
,,Assets Cost and Est. Earnings,,,,,,,,,,,,,,,,,,,,,,0.00
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,20.72,,"460,806.03"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,44.70,,"460,850.73"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,92.61,,"460,943.34"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,23.83,,"460,967.17"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,The Home Depot,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,85.47,,"461,052.64"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,39.59,,"461,092.23"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,41.78,,"461,134.01"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,5.28,,"461,139.29"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,The Home Depot,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,139.78,,"461,279.07"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,77.63,,"461,356.70"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,33.00,,"461,389.70"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,4.59,,"461,394.29"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,21.90,,"461,416.19"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,53.07,,"461,469.26"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Publix,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,18.24,,"461,487.50"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,58.22,,"461,545.72"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,13.38,,"461,559.10"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,11.68,,"461,570.78"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,28.98,,"461,599.76"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,35.00,,"461,634.76"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,14.45,,"461,649.21"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,15.00,,"461,664.21"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,31.50,,"461,695.71"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,12.55,,"461,708.26"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,65.00,,"461,773.26"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,The Home Depot,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,19.17,,"461,792.43"
,,,,,,Bill,,06/30/2025,,June/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,29.00,,"461,821.43"
,,,,,,Bill,,06/30/2025,,INV# 1016 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1016 PO# 1380 Vivian Villas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"17,457.12",,"479,278.55"
,,,,,,Bill,,07/03/2025,,INV# FC-1024,,"FULL CONSTRUCTION, LLC",,INV# FC-1024,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"11,456.00",,"490,734.55"
,,,,,,Bill,,07/07/2025,,INV# 1017 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1017 PO# 1380 Vivian Villas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"17,457.12",,"508,191.67"
,,,,,,Bill,,07/14/2025,,INV# 1018 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1018 PO# 1380 Vivian Villas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"17,457.12",,"525,648.79"
,,,,,,Bill,,07/21/2025,,HHA-Vivian Villas,,DIEGO YACOBELLI,,HHA-Vivian Villas Refund of cost of materials,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"1,769.36",,"527,418.15"
,,,,,,Bill,,07/21/2025,,INV# 1019 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1019 PO# 1380 Vivian Villas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"17,457.12",,"544,875.27"
,,,,,,Bill,,07/25/2025,,INV# 00056,,"Full Uniwell, LLC",,Run Pmt,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,900.00,,"545,775.27"
,,,,,,Bill,,07/25/2025,,INV# 1020 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1020 PO# 1380 Vivian Villas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"17,457.12",,"563,232.39"
,,,,,,Bill,,07/28/2025,,INV# 33 PO# 1388,,Argo Power Service,,INV# 33 PO# 1388  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"20,280.00",,"583,512.39"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,Restaurant Heidi aut. Fabiola,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,469.00,,"583,981.39"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,55.06,,"584,036.45"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,31.89,,"584,068.34"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,11.06,,"584,079.40"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,22.00,,"584,101.40"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,13.00,,"584,114.40"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,35.00,,"584,149.40"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,26.75,,"584,176.15"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,17.12,,"584,193.27"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,25.00,,"584,218.27"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,12.00,,"584,230.27"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,74.00,,"584,304.27"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,25.00,,"584,329.27"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,21.77,,"584,351.04"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,33.00,,"584,384.04"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,5.00,,"584,389.04"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,30.00,,"584,419.04"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,23.00,,"584,442.04"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,35.00,,"584,477.04"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,23.00,,"584,500.04"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,Restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,31.00,,"584,531.04"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,19.00,,"584,550.04"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,30.00,,"584,580.04"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,21.15,,"584,601.19"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,16.00,,"584,617.19"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,16.00,,"584,633.19"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,26.00,,"584,659.19"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,29.00,,"584,688.19"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,45.00,,"584,733.19"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,13.00,,"584,746.19"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,16.00,,"584,762.19"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,restaurant,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,33.00,,"584,795.19"
,,,,,,Bill,,07/31/2025,,July/2025,,First Horizon CC,,gas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,44.20,,"584,839.39"
,,,,,,Bill,,08/04/2025,,INV# 00058,,"Full Uniwell, LLC",,INV# 00058 Vivian Villas Commissions # 2,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"1,900.00",,"586,739.39"
,,,,,,Bill,,08/04/2025,,INV# 1021 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1021 PO# 1380 Vivian Villas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"17,457.12",,"604,196.51"
,,,,,,Bill,,08/08/2025,,refund V Villas paym,,"171 EMERGENCIA, INC.",,refund Vivian Villas payment,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,720.00,,"604,916.51"
,,,,,,Bill,,08/11/2025,,INV# 1022 PO# 1380,,"JAM CABINETS AND INVESTMENTS, LLC",,INV# 1022 PO# 1380 Vivian Villas,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"9,509.56",,"614,426.07"
,,,,,,Bill,,08/13/2025,,INV# 00059,,"Full Uniwell, LLC",,INV# 00059 (commissions Vivian Villas # 3),,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"1,500.00",,"615,926.07"
,,,,,,Bill,,08/14/2025,,Electricity service,,Signature Design Plans Corp.,,Electricity service,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,600.00,,"616,526.07"
,,,,,,Bill,,08/25/2025,,INV# 40 PO# 1388,,Argo Power Service,,INV# 40 PO# 1388  Cost Of Construction,,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"20,280.00",,"636,806.07"
,,,,,,Bill,,09/29/2025,,INV# 00084629,,CITY OF HIALEAH,,INV# 00084629 (Plumbing Permit),,Construction:HHA-Vivan Villas,,,,Accounts Payable,,"6,177.50",,"642,983.57"
,,,,,,Bill,,09/29/2025,,INV# 00084538,,CITY OF HIALEAH,,INV# 00084538 (Electric Permit),,Construction:HHA-Vivan Villas,,,,Accounts Payable,,237.50,,"643,221.07"
,,,Total HHA-Vivan Villas,,,,,,,,,,,,,,,,,,,"643,221.07",,"643,221.07"
,,Total Assets Cost and Est. Earnings,,,,,,,,,,,,,,,,,,,,"643,221.07",,"643,221.07"
,Total Other Current Asset,,,,,,,,,,,,,,,,,,,,,"643,221.07",,"643,221.07"
TOTAL,,,,,,,,,,,,,,,,,,,,,,"643,221.07",,"643,221.07"
,,,,,,,,,,,,,,,,,,,,,,,,
